data,ano,mes,mes_nome,ipca_variacao_mensal_%,acumulado_no_ano_%,acumulado_12_meses_%,fator_acumulado_desde_jan1980
01/01/1980,1980,1,January,6.62,6.62,,1.0662
01/02/1980,1980,2,February,4.62,11.5458,,1.115458
01/03/1980,1980,3,March,6.04,18.2832,,1.182832
01/04/1980,1980,4,April,5.29,24.5404,,1.245404
01/05/1980,1980,5,May,5.7,31.6392,,1.316392
01/06/1980,1980,6,June,5.31,38.6292,,1.386292
01/07/1980,1980,7,July,5.55,46.3232,,1.463232
01/08/1980,1980,8,August,4.95,53.5662,,1.535662
01/09/1980,1980,9,September,4.23,60.062,,1.60062
01/10/1980,1980,10,October,9.48,75.2359,,1.752359
01/11/1980,1980,11,November,6.67,86.9241,,1.869241
01/12/1980,1980,12,December,6.61,99.2798,99.2798,1.992798
01/01/1981,1981,1,January,6.84,6.84,99.691,2.129105
01/02/1981,1981,2,February,6.4,13.6778,103.0885,2.265368
01/03/1981,1981,3,March,4.97,19.3275,101.0393,2.377957
01/04/1981,1981,4,April,6.46,27.0361,103.2732,2.531573
01/05/1981,1981,5,May,5.56,34.0993,103.004,2.672328
01/06/1981,1981,6,June,5.52,41.5016,103.4088,2.819841
01/07/1981,1981,7,July,6.26,50.3596,104.7771,2.996363
01/08/1981,1981,8,August,5.5,58.6294,105.8502,3.161163
01/09/1981,1981,9,September,5.26,66.9733,107.8844,3.32744
01/10/1981,1981,10,October,5.08,75.4555,99.5296,3.496474
01/11/1981,1981,11,November,5.27,84.702,96.9108,3.680738
01/12/1981,1981,12,December,5.93,95.6549,95.6549,3.899006
01/01/1982,1982,1,January,6.97,6.97,95.8929,4.170767
01/02/1982,1982,2,February,6.64,14.0728,96.3348,4.447706
01/03/1982,1982,3,March,5.71,20.5864,97.7189,4.70167
01/04/1982,1982,4,April,5.89,27.6889,96.6603,4.978598
01/05/1982,1982,5,May,6.66,36.193,98.7096,5.310173
01/06/1982,1982,6,June,7.1,45.8627,101.685,5.687195
01/07/1982,1982,7,July,6.36,55.1396,101.8748,6.048901
01/08/1982,1982,8,August,5.97,64.4014,102.7741,6.41002
01/09/1982,1982,9,September,5.08,72.753,102.4274,6.735649
01/10/1982,1982,10,October,4.44,80.4232,101.1944,7.034712
01/11/1982,1982,11,November,5.29,89.9676,101.2327,7.406848
